TextId,Translated,Original
ending0106f_in0209dead line Text06,"The Masters, wish that we give more value to our martial art,",师父们，希望我们能为这身武艺赋予更加崇高的意义。
ending0106f_in0209dead line Text07,"The disciples, search their own standard in the world during their study in the Pavilion.",弟子们，也在阁中精进的岁月中，努力摸索自身处世的准则。
ending0106f_in0209dead line Text08,"They would not turn back, when they seek the ideal, and devote themselves in their ideology, ",他们义无返顾，追寻信念，投身理想，
ending0106f_in0209dead line Text09,"yet, they usually did not expect, what they would lose, on these dehumanizing paths.",但却往往没有意识到，在这条渐渐不近人情的道路上，自己将会失去什么。
ending0106f_in0209dead line Text10,"Or, they already knew, but decided to leave all behind, to achieve their aim, no matter the cost...",又或者，早已心知肚明，却仍决定要舍弃一切，为达目标，在所不惜⋯⋯
ending0106f_in0209dead line Text11,"No, Xia, should not be like this.",不，侠客，不该是这样子。
ending0106f_in0209dead line Text12,"When ideology, became a blade that tears through bonds, you already have an answer in your heart:",当信念和理想，成为了撕裂情义的刀刃，你心里就已经有了另一个答案：
ending0106f_in0209dead line Text13,"Even if it would deny what people believe in, you will stop this blade at all cost,",就算必须否定人们相信的一切，你也要尽全力挡下这一刀，
ending0106f_in0209dead line Text14,"After that, you will gather all strength, take care of each other, and defend each other from the evil of the world.",然后，让大家齐心协力，一同为彼此照应，共抗世道间的恶意。
ending0106f_in0209dead line Text15,"No mountain would refuse dust to build its height, an ocean gathers every streams to make it wide,",山不让土，海纳百川，
ending0106f_in0209dead line Text16,"You would drink together by the Poyang Lake, share one boat in tides and rain.",鄱阳共饮，风雨同舟。
ending0106f_in0209dead line Text17,"No matter what kind of ordeal will be ahead of you, ",不论今后有何磨难在前，
ending0106f_in0209dead line Text18,"you will be helping each other, and facing together.",你们都将互相扶持，一同面对。
ending0106f_in0209dead line Text19,This is the Xia Pavilion.,这才是侠隐阁。
ending0106f_in0209dead line2 Text21 (1),Path of Wuxia,俠之道。
ending0106f_in0209dead line2 Text21 (2),Path of Wuxia,俠之道。
ending0106f_in0209dead line2 Text21 (3),Path of Wuxia,俠之道。
ending0106f_in0209dead line2 Text20,"And this is what you would defend, no matter the cast,",这才是你无论如何，都会坚守到底的，
ending0106f_in0209dead line2 Text21,Path of Wuxia,侠之道。
ending0106f_in0209dead line2 Text21 (4),Path of Wuxia,俠之道。
ending0106f_in0209dead line2 Text21 (5),Path of Wuxia,俠之道。
ending0106f_in0209dead line2 Text21 (6),Path of Wuxia,俠之道。
ending0106f_in0209dead line2 Text21 (7),Path of Wuxia,俠之道。
ending0106f_in0209dead line2 Text21 (8),Path of Wuxia,俠之道。
ending0106f_in0209dead line2 Text21 (9),Path of Wuxia,俠之道。
ending0106f_in0209dead_sub line Text00,Turning the tide,转日回天
ending0106f_in0209dead_sub line Text01,"The belief to eliminate the evil, the ideology to save the world,",除恶的信念，救世的理想，
ending0106f_in0209dead_sub line Text02,"these are so remote, for most of the martial artist in this Jianghu,",那些对江湖上许多武人来说，都太过遥远，
ending0106f_in0209dead_sub line Text03,"In this Jianghu, what they seek, is the daring in delivering vengeance and justice,",武人在江湖浮沉，求的是快意恩仇、行侠仗义的潇洒，
ending0106f_in0209dead_sub line Text04,and the joy of finding a soulmate by chance on the trip.,和萍水相逢、交结知心的喜悦。
ending0106f_in0209dead_sub line Text05,"The Xia Pavilion, is different,",侠隐阁，却不尽相同，
ending0106f_in0209dead_sub line Text06,"The Masters, wish that we give more value to our martial art,",师父们，希望我们能为这身武艺赋予更加崇高的意义。
ending0106f_in0209dead_sub line Text07,"The disciples, search their own standard in the world during their study in the Pavilion.",弟子们，也在阁中精进的岁月中，努力摸索自身处世的准则。
ending0106f_in0209dead_sub line Text08,"They would not turn back, when they seek the ideal, and devote themselves in their ideology, ",他们义无返顾，追寻信念，投身理想，
ending0106f_in0209dead_sub line Text09,"yet, they usually did not expect, what they would lose, on these dehumanizing paths.",但却往往没有意识到，在这条渐渐不近人情的道路上，自己将会失去什么。
ending0106f_in0209dead_sub line Text10,"Or, they already knew, but decided to leave all behind, to achieve their aim, no matter the cost...",又或者，早已心知肚明，却仍决定要舍弃一切，为达目标，在所不惜⋯⋯
ending0106f_in0209dead_sub line Text11,"No, Xia, should not be like this.",不，侠客，不该是这样子。
ending0106f_in0209dead_sub line Text12,"When ideology, became a blade that tears through bonds, you already have an answer in your heart:",当信念和理想，成为了撕裂情义的刀刃，你心里就已经有了另一个答案：
ending0106f_in0209dead_sub line Text13,"Even if it would deny what people believe in, you will stop this blade at all cost,",就算必须否定人们相信的一切，你也要尽全力挡下这一刀，
ending0106f_in0209dead_sub line Text14,"After that, you will gather all strength, take care of each other, and defend each other from the evil of the world.",然后，让大家齐心协力，一同为彼此照应，共抗世道间的恶意。
ending0106f_in0209dead_sub line Text15,"No mountain would refuse dust to build its height, an ocean gathers every streams to make it wide,",山不让土，海纳百川，
ending0106f_in0209dead_sub line Text16,"You would drink together by the Poyang Lake, share one boat in tides and rain.",鄱阳共饮，风雨同舟。
ending0106f_in0209dead_sub line Text17,"No matter what kind of ordeal will be ahead of you, ",不论今后有何磨难在前，
ending0106f_in0209dead_sub line Text18,"you will be helping each other, and facing together.",你们都将互相扶持，一同面对。
ending0106f_in0209dead_sub line Text19,This is the Xia Pavilion.,这才是侠隐阁。
ending0106f_in0209dead_sub line2 Text21 (1),Path of Wuxia,俠之道。
ending0106f_in0209dead_sub line2 Text21 (2),Path of Wuxia,俠之道。
ending0106f_in0209dead_sub line2 Text21 (3),Path of Wuxia,俠之道。
ending0106f_in0209dead_sub line2 Text20,"And this is what you would defend, no matter the cast,",这才是你无论如何，都会坚守到底的，
ending0106f_in0209dead_sub line2 Text21,Path of Wuxia,侠之道。
ending0106f_in0209dead_sub line2 Text21 (4),Path of Wuxia,俠之道。
ending0106f_in0209dead_sub line2 Text21 (5),Path of Wuxia,俠之道。
ending0106f_in0209dead_sub line2 Text21 (6),Path of Wuxia,俠之道。
ending0106f_in0209dead_sub line2 Text21 (7),Path of Wuxia,俠之道。
ending0106f_in0209dead_sub line2 Text21 (8),Path of Wuxia,俠之道。
ending0106f_in0209dead_sub line2 Text21 (9),Path of Wuxia,俠之道。
ending0106f_in0209live title,Turning the tide,转日回天
ending0106f_in0209live line Text01,"The belief to eliminate the evil, the ideology to save the world,",除恶的信念，救世的理想，
ending0106f_in0209live line Text02,"these are so remote, for most of the martial artist in this Jianghu,",那些对江湖上许多武人来说，都太过遥远，
ending0106f_in0209live line Text03,"In this Jianghu, what they seek, is the daring in delivering vengeance and justice,",武人在江湖浮沉，求的是快意恩仇、行侠仗义的潇洒，
ending0106f_in0209live line Text04,and the joy of finding a soulmate by chance on the trip.,和萍水相逢、交结知心的喜悦。
ending0106f_in0209live line Text05,"The Xia Pavilion, is different,",侠隐阁，却不尽相同，
ending0106f_in0209live line Text06,"The Masters, wish that we give more value to our martial art,",师父们，希望我们能为这身武艺赋予更加崇高的意义。
ending0106f_in0209live line Text07,"The disciples, search their own standard in the world during their study in the Pavilion.",弟子们，也在阁中精进的岁月中，努力摸索自身处世的准则。
ending0106f_in0209live line Text08,"They would not turn back, when they seek the ideal, and devote themselves in their ideology, ",他们义无返顾，追寻信念，投身理想，
ending0106f_in0209live line Text09,"yet, they usually did not expect, what they would lose, on these dehumanizing paths.",但却往往没有意识到，在这条渐渐不近人情的道路上，自己将会失去什么。
ending0106f_in0209live line Text10,"Or, they already knew, but decided to leave all behind, to achieve their aim, no matter the cost...",又或者，早已心知肚明，却仍决定要舍弃一切，为达目标，在所不惜⋯⋯
ending0106f_in0209live line Text11,"No, Xia, should not be like this.",不，侠客，不该是这样子。
ending0106f_in0209live line Text12,"When ideology, became a blade that tears through bonds, you already have an answer in your heart:",当信念和理想，成为了撕裂情义的刀刃，你心里就已经有了另一个答案：
ending0106f_in0209live line Text13,"Even if it would deny what people believe in, you will stop this blade at all cost,",就算必须否定人们相信的一切，你也要尽全力挡下这一刀，
ending0106f_in0209live line Text14,"After that, you will gather all strength, take care of each other, and defend each other from the evil of the world.",然后，让大家齐心协力，一同为彼此照应，共抗世道间的恶意。
ending0106f_in0209live line Text15,"No mountain would refuse dust to build its height, an ocean gathers every streams to make it wide,",山不让土，海纳百川，
ending0106f_in0209live line Text16,"You would drink together by the Poyang Lake, share one boat in tides and rain.",鄱阳共饮，风雨同舟。
ending0106f_in0209live line Text17,"No matter what kind of ordeal will be ahead of you, ",不论今后有何磨难在前，
ending0106f_in0209live line Text18,"you will be helping each other, and facing together.",你们都将互相扶持，一同面对。
ending0106f_in0209live line Text19,This is the Xia Pavilion.,这才是侠隐阁。
ending0106f_in0209live line2 Text21 (1),Path of Wuxia,俠之道。
ending0106f_in0209live line2 Text21 (2),Path of Wuxia,俠之道。
ending0106f_in0209live line2 Text21 (3),Path of Wuxia,俠之道。
ending0106f_in0209live line2 Text20,"And this is what you would defend, no matter the cast,",这才是你无论如何，都会坚守到底的，
ending0106f_in0209live line2 Text21,Path of Wuxia,侠之道。
ending0106f_in0209live line2 Text21 (4),Path of Wuxia,俠之道。
ending0106f_in0209live line2 Text21 (5),Path of Wuxia,俠之道。
ending0106f_in0209live line2 Text21 (6),Path of Wuxia,俠之道。
ending0106f_in0209live line2 Text21 (7),Path of Wuxia,俠之道。
ending0106f_in0209live line2 Text21 (8),Path of Wuxia,俠之道。
ending0106f_in0209live line2 Text21 (9),Path of Wuxia,俠之道。
ending0106f_in0209live_sub line Text00,Turning the tide,转日回天
ending0106f_in0209live_sub line Text01,"The belief to eliminate the evil, the ideology to save the world,",除恶的信念，救世的理想，
ending0106f_in0209live_sub line Text02,"these are so remote, for most of the martial artist in this Jianghu,",那些对江湖上许多武人来说，都太过遥远，
ending0106f_in0209live_sub line Text03,"In this Jianghu, what they seek, is the daring in delivering vengeance and justice,",武人在江湖浮沉，求的是快意恩仇、行侠仗义的潇洒，
ending0106f_in0209live_sub line Text04,and the joy of finding a soulmate by chance on the trip.,和萍水相逢、交结知心的喜悦。
ending0106f_in0209live_sub line Text05,"The Xia Pavilion, is different,",侠隐阁，却不尽相同，
ending0106f_in0209live_sub line Text06,"The Masters, wish that we give more value to our martial art,",师父们，希望我们能为这身武艺赋予更加崇高的意义。
ending0106f_in0209live_sub line Text07,"The disciples, search their own standard in the world during their study in the Pavilion.",弟子们，也在阁中精进的岁月中，努力摸索自身处世的准则。
ending0106f_in0209live_sub line Text08,"They would not turn back, when they seek the ideal, and devote themselves in their ideology, ",他们义无返顾，追寻信念，投身理想，
ending0106f_in0209live_sub line Text09,"yet, they usually did not expect, what they would lose, on these dehumanizing paths.",但却往往没有意识到，在这条渐渐不近人情的道路上，自己将会失去什么。
ending0106f_in0209live_sub line Text10,"Or, they already knew, but decided to leave all behind, to achieve their aim, no matter the cost...",又或者，早已心知肚明，却仍决定要舍弃一切，为达目标，在所不惜⋯⋯
ending0106f_in0209live_sub line Text11,"No, Xia, should not be like this.",不，侠客，不该是这样子。
ending0106f_in0209live_sub line Text12,"When ideology, became a blade that tears through bonds, you already have an answer in your heart:",当信念和理想，成为了撕裂情义的刀刃，你心里就已经有了另一个答案：
ending0106f_in0209live_sub line Text13,"Even if it would deny what people believe in, you will stop this blade at all cost,",就算必须否定人们相信的一切，你也要尽全力挡下这一刀，
ending0106f_in0209live_sub line Text14,"After that, you will gather all strength, take care of each other, and defend each other from the evil of the world.",然后，让大家齐心协力，一同为彼此照应，共抗世道间的恶意。
ending0106f_in0209live_sub line Text15,"No mountain would refuse dust to build its height, an ocean gathers every streams to make it wide,",山不让土，海纳百川，
ending0106f_in0209live_sub line Text16,"You would drink together by the Poyang Lake, share one boat in tides and rain.",鄱阳共饮，风雨同舟。
ending0106f_in0209live_sub line Text17,"No matter what kind of ordeal will be ahead of you, ",不论今后有何磨难在前，
ending0106f_in0209live_sub line Text18,"you will be helping each other, and facing together.",你们都将互相扶持，一同面对。
ending0106f_in0209live_sub line Text19,This is the Xia Pavilion.,这才是侠隐阁。
ending0106f_in0209live_sub line2 Text21 (1),Path of Wuxia,俠之道。
ending0106f_in0209live_sub line2 Text21 (2),Path of Wuxia,俠之道。
ending0106f_in0209live_sub line2 Text21 (3),Path of Wuxia,俠之道。
ending0106f_in0209live_sub line2 Text20,"And this is what you would defend, no matter the cast,",这才是你无论如何，都会坚守到底的，
ending0106f_in0209live_sub line2 Text21,Path of Wuxia,侠之道。
ending0106f_in0209live_sub line2 Text21 (4),Path of Wuxia,俠之道。
ending0106f_in0209live_sub line2 Text21 (5),Path of Wuxia,俠之道。
ending0106f_in0209live_sub line2 Text21 (6),Path of Wuxia,俠之道。
ending0106f_in0209live_sub line2 Text21 (7),Path of Wuxia,俠之道。
ending0106f_in0209live_sub line2 Text21 (8),Path of Wuxia,俠之道。
ending0106f_in0209live_sub line2 Text21 (9),Path of Wuxia,俠之道。
ending0106m_in0209dead title,Turning the tide,转日回天
ending0106m_in0209dead line Text01,"The belief to eliminate the evil, the ideology to save the world,",除恶的信念，救世的理想，
ending0106m_in0209dead line Text02,"these are so remote, for most of the martial artist in this Jianghu,",那些对江湖上许多武人来说，都太过遥远，
ending0106m_in0209dead line Text03,"In this Jianghu, what they seek, is the daring in delivering vengeance and justice,",武人在江湖浮沉，求的是快意恩仇、行侠仗义的潇洒，
ending0106m_in0209dead line Text04,and the joy of finding a soulmate by chance on the trip.,和萍水相逢、交结知心的喜悦。
ending0106m_in0209dead line Text05,"The Xia Pavilion, is different,",侠隐阁，却不尽相同，
ending0106m_in0209dead line Text06,"The Masters, wish that we give more value to our martial art,",师父们，希望我们能为这身武艺赋予更加崇高的意义。
ending0106m_in0209dead line Text07,"The disciples, search their own standard in the world during their study in the Pavilion.",弟子们，也在阁中精进的岁月中，努力摸索自身处世的准则。
ending0106m_in0209dead line Text08,"They would not turn back, when they seek the ideal, and devote themselves in their ideology, ",他们义无返顾，追寻信念，投身理想，
ending0106m_in0209dead line Text09,"yet, they usually did not expect, what they would lose, on these dehumanizing paths.",但却往往没有意识到，在这条渐渐不近人情的道路上，自己将会失去什么。
ending0106m_in0209dead line Text10,"Or, they already knew, but decided to leave all behind, to achieve their aim, no matter the cost...",又或者，早已心知肚明，却仍决定要舍弃一切，为达目标，在所不惜⋯⋯
ending0106m_in0209dead line Text11,"No, Xia, should not be like this.",不，侠客，不该是这样子。
ending0106m_in0209dead line Text12,"When ideology, became a blade that tears through bonds, you already have an answer in your heart:",当信念和理想，成为了撕裂情义的刀刃，你心里就已经有了另一个答案：
ending0106m_in0209dead line Text13,"Even if it would deny what people believe in, you will stop this blade at all cost,",就算必须否定人们相信的一切，你也要尽全力挡下这一刀，
ending0106m_in0209dead line Text14,"After that, you will gather all strength, take care of each other, and defend each other from the evil of the world.",然后，让大家齐心协力，一同为彼此照应，共抗世道间的恶意。
ending0106m_in0209dead line Text15,"No mountain would refuse dust to build its height, an ocean gathers every streams to make it wide,",山不让土，海纳百川，
ending0106m_in0209dead line Text16,"You would drink together by the Poyang Lake, share one boat in tides and rain.",鄱阳共饮，风雨同舟。
ending0106m_in0209dead line Text17,"No matter what kind of ordeal will be ahead of you, ",不论今后有何磨难在前，
ending0106m_in0209dead line Text18,"you will be helping each other, and facing together.",你们都将互相扶持，一同面对。
ending0106m_in0209dead line Text19,This is the Xia Pavilion.,这才是侠隐阁。
ending0106m_in0209dead line2 Text21 (1),Path of Wuxia,俠之道。
ending0106m_in0209dead line2 Text21 (2),Path of Wuxia,俠之道。
ending0106m_in0209dead line2 Text21 (3),Path of Wuxia,俠之道。
ending0106m_in0209dead line2 Text20,"And this is what you would defend, no matter the cast,",这才是你无论如何，都会坚守到底的，
ending0106m_in0209dead line2 Text21,Path of Wuxia,侠之道。
ending0106m_in0209dead line2 Text21 (4),Path of Wuxia,俠之道。
ending0106m_in0209dead line2 Text21 (5),Path of Wuxia,俠之道。
ending0106m_in0209dead line2 Text21 (6),Path of Wuxia,俠之道。
ending0106m_in0209dead line2 Text21 (7),Path of Wuxia,俠之道。
ending0106m_in0209dead line2 Text21 (8),Path of Wuxia,俠之道。
ending0106m_in0209dead line2 Text21 (9),Path of Wuxia,俠之道。
ending0106m_in0209dead_sub line Text00,Turning the tide,转日回天
ending0106m_in0209dead_sub line Text01,"The belief to eliminate the evil, the ideology to save the world,",除恶的信念，救世的理想，
ending0106m_in0209dead_sub line Text02,"these are so remote, for most of the martial artist in this Jianghu,",那些对江湖上许多武人来说，都太过遥远，
ending0106m_in0209dead_sub line Text03,"In this Jianghu, what they seek, is the daring in delivering vengeance and justice,",武人在江湖浮沉，求的是快意恩仇、行侠仗义的潇洒，
ending0106m_in0209dead_sub line Text04,and the joy of finding a soulmate by chance on the trip.,和萍水相逢、交结知心的喜悦。
ending0106m_in0209dead_sub line Text05,"The Xia Pavilion, is different,",侠隐阁，却不尽相同，
ending0106m_in0209dead_sub line Text06,"The Masters, wish that we give more value to our martial art,",师父们，希望我们能为这身武艺赋予更加崇高的意义。
ending0106m_in0209dead_sub line Text07,"The disciples, search their own standard in the world during their study in the Pavilion.",弟子们，也在阁中精进的岁月中，努力摸索自身处世的准则。
ending0106m_in0209dead_sub line Text08,"They would not turn back, when they seek the ideal, and devote themselves in their ideology, ",他们义无返顾，追寻信念，投身理想，
ending0106m_in0209dead_sub line Text09,"yet, they usually did not expect, what they would lose, on these dehumanizing paths.",但却往往没有意识到，在这条渐渐不近人情的道路上，自己将会失去什么。
ending0106m_in0209dead_sub line Text10,"Or, they already knew, but decided to leave all behind, to achieve their aim, no matter the cost...",又或者，早已心知肚明，却仍决定要舍弃一切，为达目标，在所不惜⋯⋯
ending0106m_in0209dead_sub line Text11,"No, Xia, should not be like this.",不，侠客，不该是这样子。
ending0106m_in0209dead_sub line Text12,"When ideology, became a blade that tears through bonds, you already have an answer in your heart:",当信念和理想，成为了撕裂情义的刀刃，你心里就已经有了另一个答案：
ending0106m_in0209dead_sub line Text13,"Even if it would deny what people believe in, you will stop this blade at all cost,",就算必须否定人们相信的一切，你也要尽全力挡下这一刀，
ending0106m_in0209dead_sub line Text14,"After that, you will gather all strength, take care of each other, and defend each other from the evil of the world.",然后，让大家齐心协力，一同为彼此照应，共抗世道间的恶意。
ending0106m_in0209dead_sub line Text15,"No mountain would refuse dust to build its height, an ocean gathers every streams to make it wide,",山不让土，海纳百川，
ending0106m_in0209dead_sub line Text16,"You would drink together by the Poyang Lake, share one boat in tides and rain.",鄱阳共饮，风雨同舟。
ending0106m_in0209dead_sub line Text17,"No matter what kind of ordeal will be ahead of you, ",不论今后有何磨难在前，
ending0106m_in0209dead_sub line Text18,"you will be helping each other, and facing together.",你们都将互相扶持，一同面对。
ending0106m_in0209dead_sub line Text19,This is the Xia Pavilion.,这才是侠隐阁。
ending0106m_in0209dead_sub line2 Text21 (1),Path of Wuxia,俠之道。
ending0106m_in0209dead_sub line2 Text21 (2),Path of Wuxia,俠之道。
ending0106m_in0209dead_sub line2 Text21 (3),Path of Wuxia,俠之道。
ending0106m_in0209dead_sub line2 Text20,"And this is what you would defend, no matter the cast,",这才是你无论如何，都会坚守到底的，
ending0106m_in0209dead_sub line2 Text21,Path of Wuxia,侠之道。
ending0106m_in0209dead_sub line2 Text21 (4),Path of Wuxia,俠之道。
ending0106m_in0209dead_sub line2 Text21 (5),Path of Wuxia,俠之道。
ending0106m_in0209dead_sub line2 Text21 (6),Path of Wuxia,俠之道。
ending0106m_in0209dead_sub line2 Text21 (7),Path of Wuxia,俠之道。
ending0106m_in0209dead_sub line2 Text21 (8),Path of Wuxia,俠之道。
ending0106m_in0209dead_sub line2 Text21 (9),Path of Wuxia,俠之道。
ending0106m_in0209live title,Turning the tide,转日回天
ending0106m_in0209live line Text01,"The belief to eliminate the evil, the ideology to save the world,",除恶的信念，救世的理想，
ending0106m_in0209live line Text02,"these are so remote, for most of the martial artist in this Jianghu,",那些对江湖上许多武人来说，都太过遥远，
ending0106m_in0209live line Text03,"In this Jianghu, what they seek, is the daring in delivering vengeance and justice,",武人在江湖浮沉，求的是快意恩仇、行侠仗义的潇洒，
ending0106m_in0209live line Text04,and the joy of finding a soulmate by chance on the trip.,和萍水相逢、交结知心的喜悦。
ending0106m_in0209live line Text05,"The Xia Pavilion, is different,",侠隐阁，却不尽相同，
ending0106m_in0209live line Text06,"The Masters, wish that we give more value to our martial art,",师父们，希望我们能为这身武艺赋予更加崇高的意义。
ending0106m_in0209live line Text07,"The disciples, search their own standard in the world during their study in the Pavilion.",弟子们，也在阁中精进的岁月中，努力摸索自身处世的准则。
ending0106m_in0209live line Text08,"They would not turn back, when they seek the ideal, and devote themselves in their ideology, ",他们义无返顾，追寻信念，投身理想，
ending0106m_in0209live line Text09,"yet, they usually did not expect, what they would lose, on these dehumanizing paths.",但却往往没有意识到，在这条渐渐不近人情的道路上，自己将会失去什么。
ending0106m_in0209live line Text10,"Or, they already knew, but decided to leave all behind, to achieve their aim, no matter the cost...",又或者，早已心知肚明，却仍决定要舍弃一切，为达目标，在所不惜⋯⋯
ending0106m_in0209live line Text11,"No, Xia, should not be like this.",不，侠客，不该是这样子。
ending0106m_in0209live line Text12,"When ideology, became a blade that tears through bonds, you already have an answer in your heart:",当信念和理想，成为了撕裂情义的刀刃，你心里就已经有了另一个答案：
ending0106m_in0209live line Text13,"Even if it would deny what people believe in, you will stop this blade at all cost,",就算必须否定人们相信的一切，你也要尽全力挡下这一刀，
ending0106m_in0209live line Text14,"After that, you will gather all strength, take care of each other, and defend each other from the evil of the world.",然后，让大家齐心协力，一同为彼此照应，共抗世道间的恶意。
ending0106m_in0209live line Text15,"No mountain would refuse dust to build its height, an ocean gathers every streams to make it wide,",山不让土，海纳百川，
ending0106m_in0209live line Text16,"You would drink together by the Poyang Lake, share one boat in tides and rain.",鄱阳共饮，风雨同舟。
ending0106m_in0209live line Text17,"No matter what kind of ordeal will be ahead of you, ",不论今后有何磨难在前，
ending0106m_in0209live line Text18,"you will be helping each other, and facing together.",你们都将互相扶持，一同面对。
ending0106m_in0209live line Text19,This is the Xia Pavilion.,这才是侠隐阁。
ending0106m_in0209live line2 Text21 (1),Path of Wuxia,俠之道。
ending0106m_in0209live line2 Text21 (2),Path of Wuxia,俠之道。
ending0106m_in0209live line2 Text21 (3),Path of Wuxia,俠之道。
ending0106m_in0209live line2 Text20,"And this is what you would defend, no matter the cost,",这才是你无论如何，都会坚守到底的，
ending0106m_in0209live line2 Text21,Path of Wuxia,侠之道。
ending0106m_in0209live line2 Text21 (4),Path of Wuxia,俠之道。
ending0106m_in0209live line2 Text21 (5),Path of Wuxia,俠之道。
ending0106m_in0209live line2 Text21 (6),Path of Wuxia,俠之道。
ending0106m_in0209live line2 Text21 (7),Path of Wuxia,俠之道。
ending0106m_in0209live line2 Text21 (8),Path of Wuxia,俠之道。
ending0106m_in0209live line2 Text21 (9),Path of Wuxia,俠之道。
ending0106m_in0209live_sub line Text00,Turning the tide,转日回天
ending0106m_in0209live_sub line Text01,"The belief to eliminate the evil, the ideology to save the world,",除恶的信念，救世的理想，
ending0106m_in0209live_sub line Text02,"these are so remote, for most of the martial artist in this Jianghu,",那些对江湖上许多武人来说，都太过遥远，
ending0106m_in0209live_sub line Text03,"In this Jianghu, what they seek, is the daring in delivering vengeance and justice,",武人在江湖浮沉，求的是快意恩仇、行侠仗义的潇洒，
ending0106m_in0209live_sub line Text04,and the joy of finding a soulmate by chance on the trip.,和萍水相逢、交结知心的喜悦。
ending0106m_in0209live_sub line Text05,"The Xia Pavilion, is different,",侠隐阁，却不尽相同，
ending0106m_in0209live_sub line Text06,"The Masters, wish that we give more value to our martial art,",师父们，希望我们能为这身武艺赋予更加崇高的意义。
ending0106m_in0209live_sub line Text07,"The disciples, search their own standard in the world during their study in the Pavilion.",弟子们，也在阁中精进的岁月中，努力摸索自身处世的准则。
ending0106m_in0209live_sub line Text08,"They would not turn back, when they seek the ideal, and devote themselves in their ideology, ",他们义无返顾，追寻信念，投身理想，
ending0106m_in0209live_sub line Text09,"yet, they usually did not expect, what they would lose, on these dehumanizing paths.",但却往往没有意识到，在这条渐渐不近人情的道路上，自己将会失去什么。
ending0106m_in0209live_sub line Text10,"Or, they already knew, but decided to leave all behind, to achieve their aim, no matter the cost...",又或者，早已心知肚明，却仍决定要舍弃一切，为达目标，在所不惜⋯⋯
ending0106m_in0209live_sub line Text11,"No, Xia, should not be like this.",不，侠客，不该是这样子。
ending0106m_in0209live_sub line Text12,"When ideology, became a blade that tears through bonds, you already have an answer in your heart:",当信念和理想，成为了撕裂情义的刀刃，你心里就已经有了另一个答案：
ending0106m_in0209live_sub line Text13,"Even if it would deny what people believe in, you will stop this blade at all cost,",就算必须否定人们相信的一切，你也要尽全力挡下这一刀，
ending0106m_in0209live_sub line Text14,"After that, you will gather all strength, take care of each other, and defend each other from the evil of the world.",然后，让大家齐心协力，一同为彼此照应，共抗世道间的恶意。
ending0106m_in0209live_sub line Text15,"No mountain would refuse dust to build its height, an ocean gathers every streams to make it wide,",山不让土，海纳百川，
ending0106m_in0209live_sub line Text16,"You would drink together by the Poyang Lake, share one boat in tides and rain.",鄱阳共饮，风雨同舟。
ending0106m_in0209live_sub line Text17,"No matter what kind of ordeal will be ahead of you, ",不论今后有何磨难在前，
ending0106m_in0209live_sub line Text18,"you will be helping each other, and facing together.",你们都将互相扶持，一同面对。
ending0106m_in0209live_sub line Text19,This is the Xia Pavilion.,这才是侠隐阁。
ending0106m_in0209live_sub line2 Text21 (1),Path of Wuxia,俠之道。
ending0106m_in0209live_sub line2 Text21 (2),Path of Wuxia,俠之道。
ending0106m_in0209live_sub line2 Text21 (3),Path of Wuxia,俠之道。
ending0106m_in0209live_sub line2 Text20,"And this is what you would defend, no matter the cast,",这才是你无论如何，都会坚守到底的，
ending0106m_in0209live_sub line2 Text21,Path of Wuxia,侠之道。
ending0106m_in0209live_sub line2 Text21 (4),Path of Wuxia,俠之道。
ending0106m_in0209live_sub line2 Text21 (5),Path of Wuxia,俠之道。
ending0106m_in0209live_sub line2 Text21 (6),Path of Wuxia,俠之道。
ending0106m_in0209live_sub line2 Text21 (7),Path of Wuxia,俠之道。
ending0106m_in0209live_sub line2 Text21 (8),Path of Wuxia,俠之道。
ending0106m_in0209live_sub line2 Text21 (9),Path of Wuxia,俠之道。
ending0201_m title,A pair of scarlet swallow ,赤燕双飞
ending0201_m line Text01,When you first met at the automaton factory fate tied the two of you together.,自机关厂房初次相遇，命运便将你们二人牵在了一块，
ending0201_m line Text02,"You entered the Pavilion together, passed the spring exam together,",一同入阁，一同通过考校，
ending0201_m line Text03,"tasted all aspects of the world, and the danger of the Jianghu together.",一同体会这人间百态，江湖险恶。
ending0201_m line Text04,"When she realized... unrealistic ideology can not save anyone,",当她明白⋯⋯虚幻的理想，无法拯救任何人，
ending0201_m line Text05,"she left the past self behind, embraced reality and cruelty,",毅然决定抛去过去的自己，拥抱现实和残酷的决断，
ending0201_m line Text06,and you stayed with her and promised to share her burden.,是你陪伴在她身旁，许下承诺，要与她一同承担一切。
ending0201_m line Text07,"If one day, she was worn out and betrayed,",即便有朝一日，她心力交瘁，众叛亲离，
ending0201_m line Text08,there will still be a chest she can lean and cry on.,也还会有处胸口，能够让她哭泣，让她倚靠。
ending0201_m line Text09,"Before leaving the Xia Pavilion you came to the purple cherry tree at the Flower Terrace,",离开侠隐阁前，你们来到了缘花台那棵紫樱树下，
ending0201_m line Text10,a thousand thoughts passing through your hearts,万般思绪，此刻但凭心中灵犀，
ending0201_m line Text11,a pair of scarlet swallows flying beneath the crimson setting sun.,赤红夕日之下，双燕伴飞。
ending0201_m line Text12,"No matter where the path beneath takes you,",不论眼前这条路，将去往何方，
ending0201_m line Text13,You resolved to help each other and ventured forth together.,你们都将彼此扶持，一同前行。
ending0202_m title,Towards the Sunrise,向阳朝华
